Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1584028272,2020-03-12T15:51:12Z,CFD01P,"55.449268,-4.532785",5600,0,118
1584028284,2020-03-12T15:51:24Z,CFD01P,"55.444756,-4.514662",5900,190,114
1584028299,2020-03-12T15:51:39Z,CFD01P,"55.43935,-4.49145",6400,190,112
1584028314,2020-03-12T15:51:54Z,CFD01P,"55.437042,-4.480625",6500,190,110
1584028326,2020-03-12T15:52:06Z,CFD01P,"55.430496,-4.450193",6900,198,108
1584028342,2020-03-12T15:52:22Z,CFD01P,"55.426342,-4.430778",7100,202,109
1584028354,2020-03-12T15:52:34Z,CFD01P,"55.420654,-4.404736",7400,209,109
1584028366,2020-03-12T15:52:46Z,CFD01P,"55.417576,-4.390666",7600,213,110
1584028387,2020-03-12T15:53:07Z,CFD01P,"55.410454,-4.356873",8000,221,107
1584028399,2020-03-12T15:53:19Z,CFD01P,"55.407078,-4.342108",8270,221,107
1584028411,2020-03-12T15:53:31Z,CFD01P,"55.399174,-4.307536",8700,224,110
1584028423,2020-03-12T15:53:43Z,CFD01P,"55.393936,-4.28664",9000,230,112
1584028436,2020-03-12T15:53:56Z,CFD01P,"55.38842,-4.265963",9300,232,114
1584028455,2020-03-12T15:54:15Z,CFD01P,"55.381001,-4.241595",9600,226,117
1584028467,2020-03-12T15:54:27Z,CFD01P,"55.372196,-4.217134",10000,221,123
1584028474,2020-03-12T15:54:34Z,CFD01P,"55.366238,-4.207385",10100,220,133
1584028482,2020-03-12T15:54:42Z,CFD01P,"55.360077,-4.19694",10300,220,135
1584028492,2020-03-12T15:54:52Z,CFD01P,"55.354141,-4.187387",10500,220,136
1584028499,2020-03-12T15:54:59Z,CFD01P,"55.347828,-4.177109",10700,220,136
1584028512,2020-03-12T15:55:12Z,CFD01P,"55.339397,-4.1626",11000,220,136
1584028526,2020-03-12T15:55:26Z,CFD01P,"55.332668,-4.152708",11199,220,139
1584028538,2020-03-12T15:55:38Z,CFD01P,"55.321144,-4.134238",11500,220,139
1584028550,2020-03-12T15:55:50Z,CFD01P,"55.308922,-4.116868",11825,216,141
1584028566,2020-03-12T15:56:06Z,CFD01P,"55.302433,-4.106513",12064,217,138
1584028600,2020-03-12T15:56:40Z,CFD01P,"55.273815,-4.06057",12900,210,138
1584028607,2020-03-12T15:56:47Z,CFD01P,"55.268341,-4.054657",13100,206,144
1584028644,2020-03-12T15:57:24Z,CFD01P,"55.242023,-4.027279",13900,186,149
1584028682,2020-03-12T15:58:02Z,CFD01P,"55.216385,-4.004358",14638,167,154
