"G-BXWE 29-Oct-03 Frame Layout: BMAF100 (V0.04) Format: CR Pressure (V0.01)"
"Flight: 193-0 LHR-LHR T/O Frm: 45225   08:01 UTC Lnd Frm: 46310   09:14 UTC"
"Frame-SF","Time","Status","PRESS ALT","COMP AIRSPD DADC 1","EXCESS CABIN ALT","N1 ENG 1","N1 ENG 2","MASTER WARN'G","SPEED BRAKE","","AT #1 ENGAGE","AT #2 ENGAGE"
"Frame-SF","Time","Status","ALT","CAS","CALTW","N11","N12","MWARN","SPDBRK","SPDBRK","ATE1","ATE2"
"Frame-SF","Time","Status","ft","kts","","% rpm","% rpm","","","","",""
44856-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44856-2,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44856-3,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44856-4,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44857-1,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44857-2,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44857-3,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44857-4,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44858-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44858-2,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44858-3,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44858-4,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44859-1,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44859-2,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44859-3,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44859-4,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44860-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44860-2,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44860-3,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44860-4,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44861-1,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44861-2,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44861-3,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44861-4,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44862-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44862-2,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44862-3,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44862-4,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44863-1,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44863-2,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44863-3,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44863-4,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44864-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44864-2,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44864-3,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44864-4,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44865-1,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44865-2,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44865-3,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44865-4,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44866-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44866-2,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44866-3,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44866-4,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44867-1,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44867-2,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44867-3,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44867-4,19:27,,-127,0.0,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
44868-1,19:27,,-127,//////,OK,0.0,0.0,OK,RET,RET,NOT EN,NOT EN
